Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Bell Pepper,Clayey,29.6,205.96,92.07,578.93,Potato
Maize,Sandy,27.57,297.06,58.2,576.45,Maize
Chilli,Clayey,27.12,374.92,71.52,327.77,Corn
Peach,Sandy,24.7,345.7,63.6,360.83,Maize
Bell Pepper,Clayey,36.35,291.65,101.82,309.58,Corn
Peach,Saline,37.64,215.62,112.79,508.26,Chilli
Bell Pepper,Loamy,37.76,209.77,107.38,503.3,Tomato
Soybean,Loamy,27.92,357.95,82.53,486.65,Soybean
Chilli,Saline,25.18,242.01,66.09,436.89,Chilli
Soybean,Loamy,21.97,303.48,91.99,438.85,Bell Pepper
Bell Pepper,Sandy,33.45,371.38,73.95,694.24,Maize
Soybean,Loamy,26.6,242.08,53.21,336.67,Potato
Bell Pepper,Loamy,25.53,325.77,82.15,582.03,Soybean
Maize,Clayey,27.43,350.4,85.93,679.03,Potato
Soybean,Clayey,31.09,187.3,115.24,549.77,Potato
Rice,Saline,23.24,169.41,80.85,625.75,Chilli
Chilli,Clayey,39.23,356.18,67.89,366.96,Corn
Corn,Saline,34.65,375.5,87.21,431.31,Rice
Potato,Loamy,20.94,250.81,64.02,404.57,Potato
Soybean,Clayey,26.14,271.86,102.45,594.71,Potato
Tomato,Clayey,21.01,334.03,88.97,620.04,Bell Pepper
Chilli,Loamy,24.59,198.36,57.35,697.96,Rice
Rice,Clayey,25.73,153.62,88.36,531.08,Potato
Rice,Sandy,34.36,363.41,69.97,545.74,Maize
Bell Pepper,Clayey,34.37,314.05,63.44,591.27,Potato
Bell Pepper,Sandy,20.91,320.28,56.08,672.14,Maize
Potato,Saline,31.76,294.56,114.21,626.17,Rice
Maize,Clayey,39.22,290.24,105.85,485.71,Potato
Tomato,Clayey,32.57,393.63,107.71,638.86,Potato
Corn,Sandy,39.21,307.52,54.87,445.37,Maize
Potato,Loamy,27.61,184.92,119.28,422.3,Potato
Peach,Saline,29.2,216.88,117.97,584.93,Chilli
Corn,Saline,29.91,219.33,101.61,596.99,Chilli
Soybean,Sandy,38.48,202.25,114.5,556.22,Soybean
Chilli,Loamy,27.61,366.03,109.53,586.62,Soybean
Peach,Clayey,39.67,280.2,100.0,614.22,Potato
Peach,Loamy,30.86,269.58,78.15,528.3,Tomato
Potato,Loamy,24.36,396.74,95.13,339.9,Corn
Maize,Sandy,22.07,160.12,102.1,574.23,Soybean
Potato,Loamy,23.46,262.48,71.75,613.74,Rice
Soybean,Loamy,20.79,203.55,81.34,498.1,Peach
Maize,Sandy,33.85,256.83,119.23,351.76,Soybean
Soybean,Loamy,30.34,190.48,99.65,332.09,Bell Pepper
Maize,Loamy,34.76,185.98,88.49,325.76,Bell Pepper
Rice,Saline,35.65,216.82,57.09,461.65,Chilli
Peach,Sandy,38.63,181.24,84.13,421.06,Soybean
Tomato,Sandy,22.34,386.99,54.23,591.83,Maize
Chilli,Sandy,23.72,181.33,102.51,614.76,Soybean
Soybean,Loamy,30.97,266.49,55.29,690.1,Tomato
Corn,Saline,22.59,344.86,100.27,660.57,Rice
Maize,Saline,21.85,361.18,75.8,347.54,Rice
Chilli,Clayey,33.33,390.21,53.59,589.07,Potato
Corn,Sandy,34.49,289.03,63.91,551.67,Maize
Chilli,Saline,36.87,227.98,93.3,480.32,Chilli
Tomato,Saline,38.31,309.57,99.69,396.24,Rice
Corn,Saline,28.85,298.46,99.54,635.52,Rice
Potato,Sandy,39.6,297.56,93.26,612.7,Soybean
Bell Pepper,Loamy,20.76,239.03,80.85,307.72,Bell Pepper
Potato,Clayey,37.4,369.61,81.93,407.75,Potato
Bell Pepper,Clayey,26.43,288.73,50.98,574.56,Potato
Potato,Loamy,38.43,301.09,67.68,655.08,Tomato
Bell Pepper,Sandy,24.45,258.18,97.82,342.72,Soybean
Bell Pepper,Saline,34.82,208.11,90.31,428.26,Chilli
Peach,Loamy,28.51,206.11,102.16,479.71,Tomato
Maize,Clayey,27.63,307.86,55.71,668.29,Potato
Maize,Sandy,21.19,153.25,95.34,310.4,Soybean
Peach,Saline,34.12,383.23,53.73,483.59,Rice
Chilli,Clayey,23.51,259.01,62.55,559.6,Tomato
Rice,Clayey,29.26,364.93,119.84,519.19,Potato
Chilli,Clayey,22.83,257.92,104.85,361.2,Peach
Corn,Saline,32.09,179.27,91.41,636.77,Chilli
Corn,Clayey,24.62,176.47,86.86,558.97,Chilli
Bell Pepper,Sandy,31.89,150.37,107.23,536.72,Soybean
Potato,Sandy,38.93,222.44,74.82,693.02,Maize
Potato,Saline,38.42,258.06,56.37,537.07,Rice
Maize,Sandy,24.01,155.96,106.25,320.09,Soybean
Soybean,Loamy,21.98,263.46,82.83,454.22,Peach
Chilli,Sandy,20.85,182.44,113.01,614.64,Soybean
Tomato,Clayey,36.57,284.93,82.66,438.23,Potato
Potato,Clayey,24.99,303.85,87.11,330.57,Rice
Tomato,Sandy,25.68,276.93,101.84,337.01,Soybean
Bell Pepper,Sandy,24.52,279.4,60.82,491.36,Maize
Tomato,Saline,36.8,190.6,56.06,333.12,Chilli
Peach,Saline,39.58,299.64,68.32,485.24,Rice
Tomato,Loamy,35.1,394.2,111.94,545.0,Tomato
Rice,Sandy,36.47,393.95,109.81,316.09,Soybean
Bell Pepper,Loamy,32.41,237.29,58.34,432.38,Tomato
Chilli,Sandy,30.58,332.11,118.1,357.12,Soybean
Peach,Loamy,34.43,260.39,67.44,390.14,Tomato
Potato,Sandy,20.72,184.44,106.61,405.39,Soybean
Corn,Sandy,21.23,335.09,102.4,632.51,Soybean
Chilli,Sandy,33.75,236.01,109.26,496.02,Soybean
Corn,Loamy,26.7,340.23,112.38,428.79,Peach
Bell Pepper,Clayey,29.78,244.84,64.27,361.24,Corn
Peach,Saline,35.64,193.75,91.44,515.64,Chilli
Maize,Saline,31.54,363.26,55.69,486.21,Rice
Potato,Loamy,36.11,162.97,56.06,471.15,Bell Pepper
Rice,Sandy,28.38,241.39,98.2,422.42,Soybean
Maize,Clayey,25.75,318.13,91.85,608.0,Potato
Bell Pepper,Loamy,24.7,371.59,97.42,547.16,Rice
Chilli,Loamy,22.63,190.28,50.16,665.74,Soybean
Rice,Saline,20.74,174.01,56.33,432.0,Chilli
Tomato,Saline,21.06,225.53,56.68,516.7,Chilli
Rice,Clayey,25.42,214.05,64.83,351.65,Corn
Bell Pepper,Sandy,25.57,323.56,84.65,629.9,Soybean
Soybean,Clayey,27.64,209.42,90.93,474.03,Potato
Tomato,Saline,31.83,305.99,87.4,660.05,Rice
Corn,Sandy,35.19,314.0,75.81,618.72,Maize
Potato,Clayey,23.95,351.4,87.0,672.62,Bell Pepper
Corn,Loamy,35.18,300.86,79.38,549.6,Tomato
Rice,Loamy,22.78,380.25,98.57,553.48,Peach
Corn,Loamy,39.77,323.02,111.11,340.35,Tomato
Bell Pepper,Sandy,25.7,210.61,88.53,308.33,Soybean
Chilli,Sandy,36.75,384.97,94.42,390.54,Soybean
Potato,Saline,23.81,197.5,105.1,323.89,Chilli
Corn,Clayey,39.01,196.5,104.54,664.33,Potato
Corn,Sandy,36.53,335.57,107.71,446.07,Soybean
Rice,Sandy,27.19,279.75,69.62,370.61,Maize
Chilli,Clayey,28.43,190.01,65.86,465.63,Potato
Maize,Saline,20.08,178.48,105.38,483.26,Chilli
Corn,Sandy,25.03,192.35,102.05,395.67,Soybean
Bell Pepper,Clayey,25.79,381.62,61.93,616.74,Potato
Soybean,Sandy,29.05,296.62,61.17,343.64,Maize
Potato,Sandy,22.78,332.29,57.06,628.87,Maize
Corn,Saline,29.58,182.0,69.45,664.07,Chilli
Bell Pepper,Loamy,33.37,244.82,99.61,357.9,Tomato
Bell Pepper,Sandy,27.43,289.24,110.75,302.48,Soybean
Potato,Saline,24.64,277.44,119.79,543.58,Rice
Maize,Clayey,30.95,243.15,109.72,515.98,Potato
Bell Pepper,Clayey,20.58,173.94,118.73,473.77,Tomato
Soybean,Loamy,26.82,320.72,60.26,454.34,Rice
Bell Pepper,Clayey,30.55,299.48,75.65,473.84,Potato
Bell Pepper,Loamy,26.72,255.12,64.24,381.58,Rice
Bell Pepper,Sandy,26.91,381.75,70.01,462.37,Maize
Maize,Loamy,36.97,339.01,57.68,664.82,Tomato
Corn,Sandy,38.68,241.21,110.38,403.99,Soybean
Bell Pepper,Clayey,36.55,163.2,54.01,636.47,Potato
Chilli,Loamy,21.98,350.1,79.61,357.63,Potato
Corn,Saline,25.79,260.03,58.27,509.78,Rice
Maize,Clayey,34.23,268.06,81.66,611.89,Potato
Peach,Clayey,39.49,296.84,68.39,384.54,Corn
Corn,Clayey,24.85,315.12,97.0,500.6,Chilli
Corn,Clayey,37.96,302.16,113.17,595.98,Potato
Tomato,Clayey,34.78,220.34,56.9,370.71,Corn
Rice,Saline,39.67,194.48,51.95,559.37,Chilli
Tomato,Saline,21.87,157.01,82.69,513.71,Chilli
Soybean,Saline,27.89,153.27,54.62,401.32,Chilli
Rice,Loamy,29.56,372.21,59.76,382.05,Maize
Potato,Clayey,33.44,398.63,96.48,698.57,Potato
Potato,Loamy,33.08,239.41,104.08,489.29,Tomato
Maize,Loamy,38.13,203.26,81.57,609.46,Tomato
Rice,Loamy,36.77,249.84,94.56,575.04,Tomato
Corn,Clayey,21.11,175.81,113.79,520.82,Maize
Potato,Clayey,29.73,307.43,83.29,688.67,Potato
Bell Pepper,Loamy,28.14,206.25,119.27,354.85,Potato
Chilli,Clayey,39.94,229.36,52.22,674.53,Potato
Corn,Loamy,28.55,363.86,62.25,529.4,Tomato
Soybean,Clayey,33.65,292.27,71.05,695.81,Potato
Bell Pepper,Clayey,25.69,183.7,96.17,443.3,Potato
Bell Pepper,Loamy,32.29,173.88,56.57,346.57,Bell Pepper
Rice,Saline,24.13,313.55,92.39,388.36,Rice
Maize,Clayey,32.07,190.66,83.72,450.26,Potato
Soybean,Loamy,37.36,199.2,58.45,608.48,Bell Pepper
Potato,Loamy,20.38,300.45,98.13,392.33,Potato
Rice,Clayey,30.09,377.64,77.84,675.91,Potato
Potato,Clayey,39.65,285.36,110.48,450.75,Potato
Rice,Loamy,23.19,267.08,53.82,536.56,Corn
Rice,Loamy,23.67,364.67,60.65,329.98,Corn
Rice,Loamy,29.42,223.38,87.61,513.84,Rice
Maize,Sandy,37.42,158.65,113.12,607.21,Soybean
Rice,Clayey,31.26,289.42,112.62,559.42,Potato
Peach,Sandy,30.17,182.97,53.56,565.98,Maize
Chilli,Loamy,21.74,165.15,64.52,535.25,Tomato
Potato,Sandy,39.24,174.26,104.33,698.19,Soybean
Corn,Saline,26.94,177.58,71.51,459.84,Chilli
Tomato,Loamy,25.04,313.92,105.32,495.19,Corn
Soybean,Saline,28.23,295.6,104.44,484.91,Rice
Maize,Sandy,28.28,230.05,90.53,402.45,Soybean
Corn,Saline,29.17,210.77,104.42,452.8,Chilli
Bell Pepper,Sandy,33.77,150.17,101.11,512.65,Soybean
Peach,Clayey,37.36,189.72,96.82,556.96,Potato
Tomato,Clayey,21.15,293.88,96.57,443.44,Peach
Corn,Sandy,29.82,289.11,102.99,471.99,Soybean
Corn,Loamy,28.28,334.11,64.1,521.86,Potato
Peach,Clayey,20.22,158.25,68.96,680.21,Soybean
Tomato,Sandy,36.33,348.78,63.18,531.98,Maize
Bell Pepper,Loamy,22.09,295.44,60.2,485.37,Rice
Rice,Clayey,22.29,218.22,106.71,458.75,Chilli
Potato,Sandy,20.97,258.9,118.2,699.93,Soybean
Bell Pepper,Loamy,24.01,349.84,52.44,698.22,Corn
Rice,Loamy,23.54,271.43,95.16,662.04,Soybean
Maize,Sandy,26.96,327.01,88.84,343.02,Soybean
Chilli,Saline,33.19,251.86,61.94,420.7,Rice
Soybean,Saline,21.09,286.59,70.68,532.52,Rice
Soybean,Saline,37.21,358.21,57.78,592.44,Rice
Potato,Saline,26.53,274.16,94.13,643.49,Rice
Tomato,Loamy,32.13,290.78,110.21,485.01,Tomato
Peach,Saline,20.24,255.54,104.74,662.22,Rice
Tomato,Sandy,27.32,197.67,62.89,664.99,Maize
Peach,Loamy,20.04,393.37,52.18,334.48,Chilli
Tomato,Saline,23.31,155.14,86.05,693.26,Chilli
Chilli,Sandy,28.96,181.05,90.27,675.7,Soybean
Maize,Clayey,30.7,328.18,65.18,494.78,Potato
Maize,Loamy,23.06,335.17,58.5,396.34,Potato
Rice,Sandy,34.9,189.1,111.86,426.09,Soybean
Maize,Saline,23.78,308.45,71.01,379.98,Rice
Maize,Sandy,22.32,371.22,85.44,666.69,Soybean
Bell Pepper,Loamy,26.67,350.09,82.85,555.64,Peach
Bell Pepper,Clayey,31.03,151.12,116.39,444.25,Potato
Rice,Saline,39.78,160.09,77.44,399.8,Chilli
Potato,Sandy,28.37,266.61,113.83,321.94,Soybean
Bell Pepper,Clayey,28.52,238.03,74.21,488.23,Potato
Potato,Loamy,21.19,173.32,113.83,391.38,Chilli
Corn,Saline,35.32,198.2,50.1,304.1,Chilli
Bell Pepper,Clayey,23.64,385.75,65.35,410.1,Rice
Chilli,Loamy,34.9,241.98,77.03,406.53,Tomato
Rice,Saline,38.21,205.32,110.55,540.52,Chilli
Corn,Sandy,35.36,190.49,108.81,445.09,Soybean
Chilli,Clayey,32.85,297.57,70.54,303.37,Corn
Chilli,Loamy,32.08,266.12,85.46,588.47,Tomato
Chilli,Sandy,29.07,235.28,88.22,542.15,Soybean
Potato,Saline,22.89,242.03,118.87,313.11,Chilli
Tomato,Clayey,35.58,200.54,74.08,659.67,Potato
Corn,Loamy,29.55,336.6,116.79,520.4,Rice
Peach,Clayey,32.51,337.17,85.28,660.28,Potato
Corn,Sandy,27.48,158.12,95.8,471.5,Soybean
Tomato,Sandy,24.01,203.81,97.31,343.23,Soybean
Corn,Loamy,36.13,165.37,91.16,394.74,Bell Pepper
Maize,Clayey,26.85,171.93,94.1,599.65,Potato
Peach,Clayey,37.33,389.34,112.85,693.87,Potato
Tomato,Sandy,39.31,263.76,79.16,391.35,Maize
Potato,Clayey,36.6,199.86,96.72,437.38,Potato
Soybean,Clayey,22.56,391.37,67.41,347.03,Potato
Tomato,Clayey,37.1,269.02,100.55,340.24,Corn
Rice,Loamy,30.39,321.3,119.25,556.78,Tomato
Tomato,Sandy,24.83,389.34,106.74,480.87,Soybean
Maize,Saline,21.86,382.45,57.08,557.96,Rice
Soybean,Loamy,25.57,391.12,95.17,516.03,Maize
Maize,Sandy,22.75,359.86,78.17,484.88,Maize
Soybean,Loamy,20.51,325.21,77.59,648.71,Rice
Rice,Saline,39.76,202.31,77.6,387.84,Chilli
Potato,Loamy,36.63,195.69,98.28,642.25,Bell Pepper
Maize,Loamy,34.78,238.15,53.74,665.02,Tomato
Maize,Saline,23.86,375.1,77.5,306.38,Rice
Chilli,Clayey,20.55,211.77,55.23,524.63,Rice
Soybean,Sandy,29.7,202.53,113.8,549.21,Soybean
Bell Pepper,Saline,34.83,294.0,53.94,646.48,Rice
Soybean,Loamy,39.26,207.87,59.48,576.14,Tomato
Chilli,Clayey,36.88,294.85,74.65,671.3,Potato
Corn,Loamy,37.87,312.86,93.87,396.46,Tomato
Soybean,Clayey,24.77,238.51,86.64,539.77,Corn
Potato,Loamy,23.11,263.58,84.69,638.76,Potato
Chilli,Sandy,24.96,266.83,51.48,516.88,Maize
Corn,Sandy,22.77,180.12,96.07,384.67,Soybean
Peach,Loamy,35.97,178.12,76.13,629.39,Bell Pepper
Chilli,Saline,38.06,187.13,99.85,538.19,Chilli
Peach,Loamy,26.15,339.26,79.57,537.3,Bell Pepper
Maize,Loamy,37.54,341.97,108.19,617.08,Tomato
Chilli,Saline,21.1,257.35,64.21,372.23,Rice
Rice,Saline,33.55,156.75,97.93,688.42,Chilli
Peach,Loamy,30.55,153.42,113.48,609.51,Bell Pepper
Potato,Clayey,25.53,389.79,58.77,517.5,Potato
Rice,Sandy,35.36,207.22,116.07,551.35,Soybean
Tomato,Clayey,24.24,192.0,80.02,391.74,Soybean
Tomato,Saline,28.32,171.2,78.94,303.32,Chilli
Corn,Sandy,34.2,324.85,58.35,573.31,Maize
Maize,Loamy,26.76,331.86,112.4,667.54,Potato
Chilli,Sandy,37.11,389.59,95.81,562.49,Soybean
Bell Pepper,Loamy,37.31,360.68,110.35,446.25,Tomato
Potato,Loamy,24.05,156.23,99.72,626.05,Maize
Peach,Saline,28.81,353.38,81.86,339.7,Rice
Rice,Clayey,28.64,391.84,82.28,692.85,Potato
Tomato,Saline,28.2,281.44,109.43,477.86,Rice
Potato,Saline,30.04,190.92,83.2,624.53,Chilli
Bell Pepper,Sandy,21.49,208.07,60.59,658.76,Maize
Chilli,Clayey,37.4,359.41,75.01,460.23,Potato
Corn,Clayey,25.8,391.63,107.39,630.97,Potato
Bell Pepper,Clayey,20.04,388.99,51.82,450.09,Corn
Potato,Clayey,33.7,273.96,85.39,394.99,Corn
Bell Pepper,Sandy,33.01,304.2,73.39,626.87,Maize
Potato,Sandy,39.66,317.24,77.54,383.35,Maize
Potato,Saline,34.38,256.07,69.3,426.84,Rice
Soybean,Saline,26.65,384.68,101.92,483.83,Rice
Peach,Clayey,39.05,354.75,116.1,461.42,Potato
Tomato,Saline,27.31,183.62,74.6,418.44,Chilli
Soybean,Sandy,36.42,183.11,82.0,346.19,Soybean
Chilli,Saline,26.71,290.19,98.8,412.09,Rice
Soybean,Loamy,20.97,283.98,82.73,505.78,Corn
Maize,Saline,34.68,154.7,88.03,314.68,Chilli
Maize,Sandy,27.0,263.87,89.21,397.96,Soybean
Tomato,Clayey,26.78,387.05,94.88,524.67,Potato
Bell Pepper,Loamy,34.32,261.36,79.67,517.09,Tomato
Peach,Loamy,26.44,318.0,60.41,654.84,Tomato
Tomato,Loamy,22.36,326.0,77.3,425.77,Potato
Potato,Saline,28.09,157.61,110.35,415.46,Chilli
Rice,Saline,36.48,219.7,70.64,450.16,Chilli
Peach,Loamy,22.6,384.52,90.0,586.33,Bell Pepper
Peach,Loamy,31.09,277.56,55.84,373.07,Tomato
Potato,Clayey,22.65,394.71,99.53,350.54,Tomato
Potato,Clayey,20.98,373.75,77.55,409.83,Tomato
Corn,Loamy,27.57,220.14,62.54,533.82,Corn
Tomato,Clayey,33.16,216.71,105.04,313.3,Corn
Potato,Sandy,25.5,238.71,118.69,627.9,Soybean
Maize,Saline,28.91,277.26,69.96,433.23,Rice
Chilli,Clayey,29.83,374.25,56.64,377.86,Corn
Rice,Sandy,36.83,275.35,63.9,630.68,Maize
Tomato,Saline,36.38,345.86,102.43,678.19,Rice
Maize,Clayey,20.05,294.72,68.2,306.86,Chilli
Bell Pepper,Saline,28.28,207.24,63.24,572.82,Chilli
Potato,Sandy,33.12,255.41,104.3,443.24,Soybean
Potato,Sandy,37.05,253.16,76.18,533.58,Maize
Peach,Saline,20.98,398.08,81.86,533.58,Rice
Maize,Loamy,32.56,287.47,117.58,680.34,Tomato
Peach,Clayey,36.84,168.93,93.39,600.42,Potato
Corn,Loamy,25.1,293.66,69.34,484.79,Soybean
Peach,Sandy,24.11,291.61,64.03,605.89,Maize
Corn,Saline,29.36,270.11,84.28,461.14,Rice
Corn,Clayey,39.25,230.16,105.38,310.95,Corn
Potato,Clayey,33.86,211.98,61.16,374.48,Corn
Bell Pepper,Loamy,28.49,201.39,86.8,433.31,Rice
Peach,Clayey,20.42,172.82,97.1,475.22,Soybean
Maize,Clayey,31.13,244.59,57.52,401.96,Potato
Corn,Clayey,26.98,329.91,101.53,579.43,Potato
Potato,Sandy,23.71,294.92,109.56,303.37,Soybean
Rice,Loamy,30.0,153.77,98.98,605.96,Corn
Tomato,Sandy,26.83,358.56,59.58,564.7,Maize
Bell Pepper,Saline,20.77,249.98,68.04,496.95,Chilli
Soybean,Saline,34.51,325.66,63.32,654.78,Rice
Rice,Loamy,34.65,340.93,112.11,311.88,Tomato
Tomato,Saline,32.38,269.14,95.69,321.17,Rice
Rice,Sandy,36.82,348.09,86.55,399.46,Soybean
Peach,Sandy,24.06,302.43,86.21,465.98,Soybean
Corn,Sandy,25.72,349.1,103.62,597.59,Soybean
Bell Pepper,Sandy,29.17,320.77,79.18,688.46,Maize
Chilli,Loamy,21.2,190.92,66.48,342.57,Tomato
Corn,Clayey,37.67,210.21,94.2,619.98,Potato
Chilli,Saline,29.81,256.18,110.81,324.52,Rice
Tomato,Loamy,26.49,244.76,83.03,619.29,Soybean
Potato,Clayey,29.56,227.69,75.28,433.95,Potato
Soybean,Loamy,26.5,265.76,51.1,673.2,Bell Pepper
Maize,Saline,25.73,280.31,119.46,508.11,Rice
Corn,Loamy,28.96,377.51,74.38,552.87,Corn
Bell Pepper,Saline,29.64,225.01,111.27,613.29,Chilli
Rice,Loamy,28.67,163.74,87.28,610.22,Corn
Bell Pepper,Loamy,30.96,228.31,53.0,435.65,Tomato
Tomato,Sandy,35.67,329.05,74.81,436.66,Maize
Chilli,Loamy,21.15,245.44,66.93,650.03,Maize
Rice,Loamy,36.23,198.53,77.95,510.76,Bell Pepper
Maize,Clayey,24.57,246.85,78.65,300.66,Peach
Maize,Sandy,25.04,330.0,94.38,502.06,Soybean
Corn,Saline,31.99,173.4,94.26,541.62,Chilli
Tomato,Sandy,39.51,323.91,100.65,360.67,Soybean
Potato,Loamy,20.35,183.91,111.41,625.33,Maize
Tomato,Saline,33.46,394.98,88.41,363.03,Rice
Chilli,Loamy,33.94,261.05,69.54,432.02,Tomato
Bell Pepper,Sandy,31.47,247.91,114.35,329.19,Soybean
Maize,Sandy,20.19,296.31,108.57,643.84,Soybean
Bell Pepper,Loamy,32.13,186.1,78.33,585.96,Bell Pepper
Bell Pepper,Loamy,22.3,233.16,79.78,568.69,Tomato
Bell Pepper,Loamy,21.56,292.97,81.25,567.48,Chilli
Maize,Clayey,33.92,167.27,78.19,610.32,Potato
Peach,Sandy,34.0,214.16,115.54,686.46,Soybean
Chilli,Clayey,37.8,274.34,64.42,570.37,Potato
Chilli,Sandy,20.07,318.38,97.46,547.81,Soybean
Rice,Sandy,27.58,227.94,61.48,532.83,Maize
Tomato,Saline,20.25,306.29,52.25,324.29,Rice
Tomato,Saline,27.29,212.84,56.17,633.78,Chilli
Soybean,Sandy,29.83,258.64,52.55,623.75,Maize
Tomato,Saline,30.59,255.6,106.92,690.23,Rice
Maize,Sandy,27.12,158.89,119.45,579.01,Soybean
Potato,Sandy,34.51,385.03,116.09,569.24,Soybean
Corn,Loamy,28.31,338.38,51.33,330.49,Corn
Soybean,Saline,30.34,296.77,106.96,368.81,Rice
Corn,Clayey,36.0,230.87,73.45,609.61,Potato
Chilli,Clayey,23.49,356.35,55.87,586.23,Corn
Corn,Saline,26.42,326.14,78.08,660.32,Rice
Corn,Sandy,30.43,184.75,86.42,316.82,Soybean
Soybean,Clayey,35.35,291.02,82.05,409.15,Potato
Rice,Saline,28.51,215.95,57.46,630.48,Chilli
Bell Pepper,Clayey,21.46,331.55,115.72,435.02,Potato
Tomato,Loamy,39.78,255.61,114.02,368.67,Tomato
Tomato,Sandy,34.16,213.43,98.74,432.63,Soybean
Maize,Loamy,34.45,379.57,69.34,568.21,Tomato
Soybean,Clayey,29.3,377.68,96.34,426.11,Potato
Maize,Sandy,30.94,355.23,62.16,589.6,Maize
Potato,Sandy,39.88,173.96,72.24,678.64,Maize
Potato,Sandy,31.9,338.75,115.85,577.56,Soybean
Maize,Saline,24.38,170.27,51.7,660.09,Chilli
Soybean,Saline,39.29,176.13,72.16,484.46,Chilli
Maize,Sandy,30.76,190.63,83.76,670.34,Soybean
Tomato,Sandy,20.41,322.29,108.71,587.53,Soybean
Peach,Sandy,31.47,246.01,111.59,331.98,Soybean
Corn,Loamy,21.41,360.89,97.32,381.98,Peach
Peach,Loamy,30.55,336.5,75.19,461.0,Tomato
Soybean,Clayey,36.51,341.87,118.53,487.61,Potato
Peach,Sandy,30.78,382.72,51.69,547.54,Maize
Potato,Sandy,27.47,298.62,117.45,591.4,Soybean
Chilli,Loamy,37.65,363.31,116.3,312.08,Tomato
Corn,Clayey,38.55,214.09,77.6,389.96,Corn
Bell Pepper,Clayey,26.95,379.48,63.59,303.65,Corn
Soybean,Sandy,29.98,384.83,105.95,510.83,Soybean
Corn,Saline,39.66,247.62,97.4,668.52,Chilli
Peach,Clayey,23.56,233.41,94.74,365.37,Soybean
Potato,Clayey,25.96,224.58,106.97,310.85,Corn
Rice,Sandy,28.57,270.2,65.26,324.84,Maize
Bell Pepper,Sandy,22.02,315.5,62.55,496.53,Maize
Corn,Sandy,25.44,276.68,113.56,668.84,Soybean
Potato,Loamy,30.89,281.89,83.2,417.94,Tomato
Potato,Sandy,24.57,165.14,98.1,351.83,Soybean
Peach,Saline,33.73,374.28,70.07,453.76,Rice
Tomato,Saline,26.95,193.6,84.99,654.05,Chilli
Peach,Clayey,21.8,330.5,66.36,347.75,Peach
Tomato,Loamy,35.29,225.73,92.44,346.25,Tomato
Tomato,Clayey,31.35,267.5,61.09,373.53,Corn
Bell Pepper,Loamy,36.5,151.78,60.42,315.24,Bell Pepper
Peach,Sandy,27.2,354.09,97.92,384.46,Soybean
Rice,Clayey,20.39,390.25,77.98,691.28,Rice
Maize,Saline,20.93,180.85,110.2,614.21,Chilli
Maize,Loamy,35.91,198.11,74.13,600.38,Bell Pepper
Peach,Clayey,28.21,168.08,75.3,573.5,Potato
Peach,Saline,39.53,169.73,65.24,648.97,Chilli
Bell Pepper,Saline,36.61,287.32,105.78,336.8,Rice
Peach,Sandy,20.32,190.95,115.86,430.53,Soybean
Tomato,Loamy,37.4,205.37,75.88,581.48,Tomato
Potato,Clayey,24.26,262.84,80.09,618.62,Chilli
Potato,Saline,29.73,270.17,72.05,630.61,Rice
Tomato,Loamy,30.12,221.91,50.31,692.18,Tomato
Soybean,Sandy,21.19,395.35,105.27,525.09,Soybean
Tomato,Loamy,22.51,178.33,74.95,388.38,Corn
Rice,Loamy,28.46,197.87,116.53,387.77,Tomato
Chilli,Clayey,32.85,257.29,58.75,534.24,Potato
Corn,Loamy,25.29,222.52,101.57,581.92,Chilli
Tomato,Sandy,30.53,358.24,113.19,532.11,Soybean
Peach,Saline,27.58,194.21,95.73,586.45,Chilli
Peach,Clayey,32.61,328.62,91.41,422.41,Potato
Bell Pepper,Saline,28.49,181.47,77.85,484.03,Chilli
Tomato,Loamy,37.03,216.98,80.67,450.5,Tomato
Bell Pepper,Sandy,39.67,334.99,94.55,508.58,Soybean
Tomato,Saline,38.26,172.22,82.36,526.81,Chilli
Corn,Sandy,23.37,376.92,119.13,574.23,Soybean
Chilli,Loamy,29.14,230.35,82.25,316.95,Rice
Potato,Loamy,29.18,233.49,112.7,607.56,Chilli
Maize,Saline,36.81,208.61,68.35,655.31,Chilli
Tomato,Clayey,27.14,367.86,96.57,660.65,Potato
Chilli,Sandy,30.99,309.98,117.77,526.7,Soybean
Potato,Sandy,32.19,161.04,118.37,557.66,Soybean
Soybean,Sandy,22.23,378.87,75.13,522.55,Maize
Corn,Loamy,31.16,382.89,75.75,470.34,Tomato
Bell Pepper,Loamy,24.94,287.57,60.97,340.22,Soybean
Bell Pepper,Saline,24.13,228.74,55.96,365.93,Chilli
Peach,Saline,25.01,190.19,68.15,381.66,Chilli
Potato,Loamy,21.99,215.31,86.11,395.87,Peach
Soybean,Clayey,21.39,369.1,94.47,606.34,Peach
Chilli,Sandy,32.94,201.6,56.05,455.53,Maize
Corn,Sandy,38.82,187.34,93.86,356.22,Soybean
Potato,Loamy,33.76,231.84,77.19,561.57,Tomato
Soybean,Clayey,26.24,225.38,56.49,426.09,Potato
Maize,Clayey,26.7,335.0,51.63,560.03,Potato
Tomato,Clayey,30.83,246.03,109.1,335.36,Corn
Bell Pepper,Clayey,37.33,200.88,108.25,306.08,Corn
Chilli,Clayey,24.05,186.0,113.26,683.69,Potato
